New Zealand 	India 	India 	12 runs 	Wellington 	Mar 30, 1994 	ODI # 898
New Zealand 	India 	New Zealand 	6 wickets 	Christchurch 	Apr 2, 1994 	ODI # 899
U.A.E. 	India 	India 	71 runs 	Sharjah 	Apr 13, 1994 	ODI # 904
India 	Pakistan 	Pakistan 	6 wickets 	Sharjah 	Apr 15, 1994 	ODI # 906
Australia 	India 	India 	7 wickets 	Sharjah 	Apr 19, 1994 	ODI # 910
India 	Pakistan 	Pakistan 	39 runs 	Sharjah 	Apr 22, 1994 	ODI # 912
Sri Lanka 	India 	Sri Lanka 	7 wickets 	Colombo (RPS) 	Sep 5, 1994 	ODI # 922
Australia 	India 	India 	31 runs 	Colombo (RPS) 	Sep 9, 1994 	ODI # 924
Sri Lanka 	India 	India 	6 wickets 	Colombo (SSC) 	Sep 17, 1994 	ODI # 927
India 	West Indies 	West Indies 	96 runs 	Faridabad 	Oct 17, 1994 	ODI # 931
India 	West Indies 	India 	8 runs 	Mumbai 	Oct 20, 1994 	ODI # 933
India 	West Indies 	India 	4 wickets 	Chennai 	Oct 23, 1994 	ODI # 936
India 	New Zealand 	India 	7 wickets 	Vadodara 	Oct 28, 1994 	ODI # 939
India 	West Indies 	West Indies 	46 runs 	Kanpur 	Oct 30, 1994 	ODI # 941
India 	New Zealand 	India 	107 runs 	Delhi 	Nov 3, 1994 	ODI # 944
India 	West Indies 	India 	72 runs 	Kolkata 	Nov 5, 1994 	ODI # 947
India 	West Indies 	India 	4 runs 	Visakhapatnam 	Nov 7, 1994 	ODI # 949
India 	West Indies 	India 	8 wickets 	Cuttack 	Nov 9, 1994 	ODI # 950
India 	West Indies 	India 	5 runs 	Jaipur 	Nov 11, 1994 	ODI # 951
New Zealand 	India 	New Zealand 	4 wickets 	Napier 	Feb 16, 1995 	ODI # 976
India 	South Africa 	South Africa 	14 runs 	Hamilton 	Feb 18, 1995 	ODI # 977
